year,month_name,quarter,lastSaleDate,date_id
2014,December,4,2014-12-12 00:00:00+00:00,91
2020,March,1,2020-03-24 00:00:00+00:00,92
1998,November,4,1998-11-23 00:00:00+00:00,93
1996,March,1,1996-03-28 00:00:00+00:00,94
2020,July,3,2020-07-27 00:00:00+00:00,95
2023,September,3,2023-09-26 00:00:00+00:00,96
1994,December,4,1994-12-16 00:00:00+00:00,97
2022,January,1,2022-01-05 00:00:00+00:00,98
2018,June,2,2018-06-21 00:00:00+00:00,99
2022,March,1,2022-03-16 00:00:00+00:00,100
2021,November,4,2021-11-22 00:00:00+00:00,101
2021,November,4,2021-11-29 00:00:00+00:00,102
2019,December,4,2019-12-26 00:00:00+00:00,103
2020,December,4,2020-12-11 00:00:00+00:00,104
2022,May,2,2022-05-09 00:00:00+00:00,105
2006,June,2,2006-06-27 00:00:00+00:00,106
2015,May,2,2015-05-21 00:00:00+00:00,107
1999,October,4,1999-10-01 00:00:00+00:00,108
1977,December,4,1977-12-01 00:00:00+00:00,109
2022,September,3,2022-09-19 00:00:00+00:00,110
2020,November,4,2020-11-16 00:00:00+00:00,111
2024,February,1,2024-02-26 00:00:00+00:00,112
2017,March,1,2017-03-15 00:00:00+00:00,113
2023,June,2,2023-06-15 00:00:00+00:00,114
2023,September,3,2023-09-18 00:00:00+00:00,115
2022,April,2,2022-04-26 00:00:00+00:00,116
1996,January,1,1996-01-18 00:00:00+00:00,117
2016,October,4,2016-10-13 00:00:00+00:00,118
2022,March,1,2022-03-17 00:00:00+00:00,119
2022,January,1,2022-01-18 00:00:00+00:00,120
1992,August,3,1992-08-13 00:00:00+00:00,121
2019,July,3,2019-07-16 00:00:00+00:00,122
2011,April,2,2011-04-21 00:00:00+00:00,123
1998,July,3,1998-07-08 00:00:00+00:00,124
1990,May,2,1990-05-17 00:00:00+00:00,125
2021,August,3,2021-08-17 00:00:00+00:00,126
2004,May,2,2004-05-24 00:00:00+00:00,127
2017,July,3,2017-07-18 00:00:00+00:00,128
2006,March,1,2006-03-09 00:00:00+00:00,129
2022,June,2,2022-06-24 00:00:00+00:00,130
2018,April,2,2018-04-17 00:00:00+00:00,131
2014,August,3,2014-08-26 00:00:00+00:00,132
2024,May,2,2024-05-28 00:00:00+00:00,133
2014,August,3,2014-08-21 00:00:00+00:00,134
2001,July,3,2001-07-03 00:00:00+00:00,135
2016,June,2,2016-06-28 00:00:00+00:00,136
2009,May,2,2009-05-29 00:00:00+00:00,137
2020,May,2,2020-05-28 00:00:00+00:00,138
2008,March,1,2008-03-07 00:00:00+00:00,139
2023,March,1,2023-03-28 00:00:00+00:00,140
2011,December,4,2011-12-27 00:00:00+00:00,141
2021,December,4,2021-12-03 00:00:00+00:00,142
1999,December,4,1999-12-21 00:00:00+00:00,143
2004,January,1,2004-01-09 00:00:00+00:00,144
2005,July,3,2005-07-26 00:00:00+00:00,145
2018,August,3,2018-08-29 00:00:00+00:00,146
2022,June,2,2022-06-14 00:00:00+00:00,147
2013,March,1,2013-03-22 00:00:00+00:00,148
2021,September,3,2021-09-23 00:00:00+00:00,149
2012,February,1,2012-02-24 00:00:00+00:00,150
2021,March,1,2021-03-30 00:00:00+00:00,151
2022,May,2,2022-05-25 00:00:00+00:00,152
2016,December,4,2016-12-23 00:00:00+00:00,153
2022,January,1,2022-01-27 00:00:00+00:00,154
2022,July,3,2022-07-18 00:00:00+00:00,155
2019,July,3,2019-07-01 00:00:00+00:00,156
2017,October,4,2017-10-11 00:00:00+00:00,157
